tweet,sentiment,highlight
"Aw enn l ahla men hek hay li btelbesle crop top b noss din l sa23a w l talej w bte23ad tne2 ""Msa23a"" ""Ya alla ktir sa23a"" N2ebre lbese.",Negative,None
yu2brnee jamelo pepe happy_face_smiley tfeh shu beche3 bas li kanze por la decima ma7leto,Negative,None
Lea ktir pedophile happy_face_smiley,Negative,Bullying
Shu hal hmar hayda,Negative,Bullying
Fasharet 3a ra2btak w ra2bit m3almak w ra2bit li khalafouk,Negative,None
Hayda ensen marid,Negative,None
my uncle is lowkey aawne w ktir aabele natfo,Negative,None
Bassam bte7lam feyon lal syesye bel leil as a nightmare? happy_face_smiley,Negative,Sarcasm
@Ritarouhana helo ktir. Eza badkoun tejo kelkoun ouloula la nawal tjebelna van akbar happy_face_smiley . Ba3doun 3am bi rouho bel van li bi se3 nos wahad?,Negative,Sarcasm
Hayda ma biya3ref ye2ra w yektob w bedo waziren Wlo kif la Ken iza Ken 3ando terminal,Negative,None
Eh laeno l darak 3ana ktir awedim,Negative,Sarcasm
"Kiff kell wahad sar ynazel soura la day3to ma3 ""my village last night"" w henne bel 10 snin byotla3o marra.",Negative,Sarcasm
@CharbelGhsoub mech hayda yale ken ykun fi mounesabet lal ouwet yrouh y3alle2 a3lem? sar bado y7allil,Negative,None
"@Cybele_reaidy bi kouno msh aryin shi mnel enjil gher verse wehde w bi hotoua ""favorite verse"" shou fahamik..",Negative,None
Boy : ana be7tirim ra2ey el mar2a w da2iman b7otto 2idem ra2ye Girl : habibe enta ktir mni7 Boy : skete wli ma 7adan talab ra2yik *slap her*,Negative,None
@OSalem96 Bro shu 3m tebke.. beirut ma3a esshel,Negative,None
awlkon byaarfo shou yaane حكومة تصريف أعمال? bshekk bl mawdou3.,Negative,Sarcasm
Wa2afna el dares wel gym lal thawra. Tlo3na noss7anin wel exam kal 7oukam is still standing strong in 1 week. Ekel Khara af.,Negative,None
Ka eno ma hada ghayra bemasel helo happy_face_smiley,Negative,Sarcasm
Chou mahdoumeh frown_sad_angry_pouting,Negative,None
@H7470 hehe hayda saba7 ...saba7 l 2araf,Negative,None
fhemna eno elsy el achkar rebheta lal siyara walla,Negative,None
@FansLeaMakhoul1 Ana W Ma Bcherikk Bi Wala Wahad Ba2a happy_face_smiley Chi Ktir Mez3ij W Ma Elo 3aze..Chou Ela Me3na Ybayyin Senye L Esem Bl Trend? happy_face_smiley,Negative,None
Eza btekhde soura w mkhabeye wejjek bi telephonek w hada allek pretty 3am yedahak 3alayke...,Negative,Sarcasm
Ktir bteje mezeej enta happy_face_smiley .,Negative,Sarcasm
7elwe l3aj2a ..... eh bass ktir hal2ad@@@,Negative,Sarcasm
"@raedhassoun lech hek mfkrni bkrah l barouk ana ru7i m3l2a bl barouk bas bkrah nesa ""7awach"" happy_face_smiley",Negative,None
@JessyBassil Lol so2al ktir tefeh happy_face_smiley,Negative,None
